sigma_vi,id,des,ps,ts,method,energy,ip,fullname,sigma_mc,date
3.3702,bK09SH1T,2009 ST171,-6.81,0,IOBS,1.111e-01,1.118e-06,(2009 ST171),,2066-09-30.09
2.2077,bK01SS6D,2001 SD286,-7.34,0,IOBS,1.255e+00,6.222e-08,(2001 SD286),,2080-09-23.22
2.1886,bK18L04F,2018 LF4,-7.34,0,IOBS,4.037e+00,3.597e-08,(2018 LF4),,2106-05-18.75
1.1330,bK18P21Z,2018 PZ21,-8.44,0,IOBS,1.018e-01,6.519e-08,(2018 PZ21),,2122-07-29.55
1.1641,bK18P21Z,2018 PZ21,-8.64,0,IOBS,1.018e-01,4.085e-08,(2018 PZ21),,2120-07-28.93
0.9613,bK18R02B,2018 RB2,-8.52,0,IOBS,5.637e-02,8.468e-08,(2018 RB2),,2119-09-06.79
1.5703,bK18R02B,2018 RB2,-8.23,0,IOBS,5.618e-02,1.658e-07,(2018 RB2),,2119-09-06.80
1.6833,bK18T00B,2018 TB,-6.08,0,IOBS,1.630e+00,1.330e-06,(2018 TB),,2103-10-08.51
0.6169,bK18L05S,2018 LS5,-8.65,0,IOBS,1.276e-01,2.728e-08,(2018 LS5),,2104-06-30.68
0.9987,bK18L05S,2018 LS5,-9.32,0,IOBS,1.288e-01,5.010e-09,(2018 LS5),,2093-08-01.10
0.2941,bK14Wa2R,2014 WR362,-8.38,0,IOBS,7.107e-02,5.454e-08,(2014 WR362),,2078-11-21.31
1.1749,bK15Bp6W,2015 BW516,-10.80,0,IOBS,4.106e-02,5.348e-10,(2015 BW516),,2114-01-29.86
1.1002,bK16J05S,2016 JS5,-10.19,0,IOBS,1.054e-03,4.525e-08,(2016 JS5),,2121-05-04.39
1.8946,bK16N56C,2016 NC56,-9.76,0,IOBS,1.131e-01,2.686e-09,(2016 NC56),,2115-07-07.86
1.2104,bK17B92G,2017 BG92,-10.78,0,IOBS,5.419e-03,3.070e-09,(2017 BG92),,2120-01-19.01
1.0283,bK17B92G,2017 BG92,-8.63,0,IOBS,5.422e-03,4.214e-07,(2017 BG92),,2118-01-22.53
1.2712,bK17B92G,2017 BG92,-8.86,0,IOBS,5.421e-03,2.437e-07,(2017 BG92),,2117-01-19.07
0.8513,bK21A02S,2021 AS2,-9.74,0,IOBS,9.630e-03,8.210e-09,(2021 AS2),,2063-01-10.05
0.4736,bK22W04R,2022 WR4,-9.18,0,IOBS,1.297e-03,3.811e-07,(2022 WR4),,2119-11-23.43
1.2041,bK20T06G,2020 TG6,-8.72,0,IOBS,1.061e-02,3.071e-08,(2020 TG6),,2039-10-19.01
1.0082,bK23T03V,2023 TV3,-7.72,0,IOBS,4.412e-02,9.678e-08,(2023 TV3),,2039-10-12.43
1.5032,bK24R16E,2024 RE16,-6.68,0,IOBS,1.889e-01,4.962e-07,(2024 RE16),,2046-09-08.86
3.5547,bK18W03A,2018 WA3,-7.22,0,IOBS,4.713e-02,6.267e-07,(2018 WA3),,2055-11-28.81
0.2739,bK16G02M,2016 GM2,-7.96,0,IOBS,1.020e+00,3.108e-08,(2016 GM2),,2121-04-28.66
0.2696,bK16G02M,2016 GM2,-7.76,0,IOBS,1.039e+00,4.853e-08,(2016 GM2),,2121-04-26.73
2.5420,bK08K11N,2008 KN11,-6.11,0,IOBS,2.148e+01,4.159e-08,(2008 KN11),,2046-06-20.80
0.7279,bK08S07T,2008 ST7,-6.72,0,IOBS,4.913e+00,1.390e-07,(2008 ST7),,2112-09-10.50
1.3269,bK08S07T,2008 ST7,-7.54,0,IOBS,4.903e+00,2.110e-08,(2008 ST7),,2111-09-11.09
1.7740,bK08S07T,2008 ST7,-7.61,0,IOBS,4.915e+00,1.705e-08,(2008 ST7),,2108-09-10.23
1.3436,bK08S07T,2008 ST7,-5.44,0,IOBS,4.919e+00,2.457e-06,(2008 ST7),,2105-09-10.81
2.2298,bJ94X01M,1994 XM1,-8.53,0,IOBS,1.992e-02,1.882e-07,(1994 XM1),,2117-12-08.99
2.3341,bK02C26A,2002 CA26,-9.33,0,IOBS,4.742e-01,2.415e-09,(2002 CA26),,2120-01-21.24
0.5863,bK23N01G,2023 NG1,-7.98,0,IOBS,1.362e-01,1.517e-07,(2023 NG1),,2123-07-03.70
